CardNo,Sex,Major,Card_Count,Frequency,Most_Frequent_Place,Avg_Storage,Avg_Spending
180931,男,18市场营销,810.0,107,第一食堂,144.77289719626168,15.99
180932,男,18市场营销,460.0,54,第四食堂,38.42777777777778,8.123333333333333
180933,男,18市场营销,713.0,78,第二食堂,53.319230769230764,10.253333333333334
180934,男,18市场营销,589.0,70,第四食堂,51.035714285714285,13.370000000000001
180935,男,18市场营销,445.0,35,第二食堂,46.55428571428572,3.3466666666666667
180936,男,18市场营销,170.0,22,第一食堂,64.9090909090909,3.8133333333333335
180937,男,18市场营销,314.0,13,第二食堂,67.52307692307691,2.5
180938,男,18市场营销,462.0,41,第四食堂,162.2829268292683,9.19
180941,男,18市场营销,157.0,1,医务室,0.2,0.04
180942,男,18市场营销,791.0,175,第二食堂,100.53714285714285,15.03
180945,男,18市场营销,236.0,23,第三食堂,50.43043478260869,5.3966666666666665
180946,男,18市场营销,346.0,35,第一食堂,62.354285714285716,5.006666666666666
180947,男,18市场营销,726.0,79,第二食堂,76.39746835443037,10.023333333333333
180949,女,18市场营销,304.0,68,第五食堂,70.23970588235295,9.366666666666667
180954,女,18市场营销,486.0,1,第二食堂,1.7,0.1
180971,女,18市场营销,154.0,1,第四食堂,1.9,0.2
180973,女,18市场营销,146.0,5,第一食堂,56.9,1.0333333333333334
180974,女,18市场营销,115.0,6,第四食堂,51.01666666666667,1.4
180977,女,18市场营销,132.0,2,第二食堂,49.7,0.14666666666666667
180986,女,18市场营销,312.0,38,第五食堂,60.95526315789474,2.9433333333333334
180987,女,18市场营销,216.0,23,第二食堂,97.46521739130434,2.316666666666667
180992,女,18市场营销,155.0,6,第三食堂,41.53333333333333,2.7
180993,女,18市场营销,396.0,77,第五食堂,36.48831168831169,8.516666666666667
180994,女,18市场营销,352.0,53,第五食堂,60.07169811320755,4.486666666666666
181011,女,18市场营销,682.0,63,第二食堂,49.53968253968254,8.556666666666667
181012,女,18市场营销,433.0,26,第四食堂,53.62307692307692,4.343333333333334
181013,女,18市场营销,960.0,121,第二食堂,84.3099173553719,11.676666666666668
181014,女,18市场营销,368.0,19,第二食堂,46.852631578947374,2.966666666666667
181015,女,18市场营销,947.0,137,第二食堂,57.71824817518248,9.020000000000001
181016,女,18市场营销,779.0,105,第二食堂,61.85809523809524,16.89
181017,女,18市场营销,604.0,86,第二食堂,48.78488372093023,7.263333333333334
181018,女,18市场营销,796.0,116,第二食堂,74.77499999999999,13.503333333333334
181019,女,18市场营销,719.0,106,第二食堂,49.35471698113207,17.456666666666667
181020,女,18市场营销,506.0,42,第二食堂,72.91666666666667,6.066666666666666
181021,女,18市场营销,572.0,60,第四食堂,101.865,9.360000000000001
181022,女,18市场营销,817.0,116,第二食堂,148.08189655172413,12.076666666666666
181024,女,18市场营销,326.0,44,第五食堂,53.30227272727273,5.216666666666667
181025,女,18市场营销,793.0,100,第二食堂,88.65299999999999,6.033333333333333
181026,女,18市场营销,768.0,125,第二食堂,76.2772,17.470000000000002
181028,女,18市场营销,523.0,56,第二食堂,25.490357142857142,5.323333333333333
181029,女,18市场营销,753.0,101,第二食堂,46.67920792079208,8.611666666666668
181030,女,18市场营销,753.0,120,第二食堂,50.9375,10.75
181031,女,18市场营销,564.0,62,第四食堂,88.90806451612903,11.406666666666666
181032,女,18市场营销,810.0,107,第一食堂,78.35887850467289,7.863333333333333
181034,女,18市场营销,787.0,97,第四食堂,65.72061855670103,17.363333333333333
181035,女,18市场营销,805.0,121,第二食堂,35.36611570247934,10.373333333333333
181036,女,18市场营销,518.0,64,第二食堂,47.26875,10.19
181041,女,18市场营销,604.0,98,第五食堂,40.945918367346934,5.1
181042,女,18市场营销,966.0,130,第二食堂,104.12153846153845,17.69
181045,女,18市场营销,655.0,73,第二食堂,57.30821917808219,16.273333333333333
181046,女,18市场营销,841.0,90,第二食堂,49.666666666666664,8.366666666666667
181047,女,18市场营销,721.0,71,第二食堂,53.985915492957744,8.253333333333334
181048,女,18市场营销,291.0,16,第四食堂,71.00625,2.0166666666666666
181049,女,18市场营销,633.0,48,第一食堂,44.581250000000004,5.153333333333333
181050,女,18市场营销,584.0,48,第二食堂,58.72666666666667,11.270000000000001
181051,女,18市场营销,668.0,46,第四食堂,59.323913043478264,7.536666666666666
181052,女,18市场营销,543.0,44,第四食堂,67.07045454545454,10.463333333333333
181053,女,18市场营销,750.0,86,第二食堂,88.85232558139535,9.629999999999999
181054,女,18市场营销,77.0,4,教师食堂,85.55,1.1
181055,男,18电气自动化,803.0,53,第二食堂,77.75660377358491,7.333333333333333
181056,男,18电气自动化,447.0,30,第四食堂,50.28333333333333,6.333333333333333
181058,男,18电气自动化,750.0,125,第二食堂,74.5888,19.913333333333334
181059,男,18电气自动化,453.0,52,第四食堂,71.81538461538462,9.463333333333333
181060,男,18电气自动化,955.0,69,第四食堂,47.172463768115946,11.16
181061,男,18电气自动化,620.0,48,第二食堂,146.53541666666666,9.286666666666667
181062,男,18电气自动化,724.0,89,第四食堂,62.811235955056176,15.586666666666668
181063,男,18电气自动化,1164.0,174,第二食堂,68.86551724137931,22.663333333333334
181064,男,18电气自动化,650.0,52,第二食堂,51.21769230769231,9.553333333333335
181065,男,18电气自动化,665.0,66,第二食堂,110.9439393939394,9.97
181066,男,18电气自动化,798.0,92,第二食堂,47.6445652173913,14.19
181067,男,18电气自动化,616.0,88,红太阳超市,65.06136363636364,11.663333333333332
181068,男,18电气自动化,593.0,110,第二食堂,54.588181818181816,16.643333333333334
181069,男,18电气自动化,774.0,79,第四食堂,105.33544303797468,16.063333333333333
181070,男,18电气自动化,869.0,74,第一食堂,50.74324324324324,11.770000000000001
181071,男,18电气自动化,678.0,95,第二食堂,55.933684210526316,13.618333333333334
181073,男,18电气自动化,782.0,108,第四食堂,93.02592592592592,17.16
181077,男,18电气自动化,672.0,77,第二食堂,41.99155844155844,10.610000000000001
181078,男,18电气自动化,893.0,148,第二食堂,60.73581081081081,24.933333333333334
181079,男,18电气自动化,1197.0,165,第二食堂,61.838181818181816,11.78
181080,男,18电气自动化,962.0,149,第一食堂,64.06442953020135,9.013333333333332
181081,男,18电气自动化,779.0,118,第二食堂,64.52779661016949,19.716666666666665
181083,男,18电气自动化,1385.0,162,第一食堂,147.9940740740741,17.970000000000002
181084,男,18电气自动化,838.0,104,第二食堂,48.62769230769231,10.113333333333333
181086,男,18电气自动化,1064.0,160,第二食堂,61.3725,17.413333333333334
181087,男,18电气自动化,643.0,62,第二食堂,40.92580645161291,4.58
181090,男,18电气自动化,502.0,72,第四食堂,47.36805555555556,13.78
181091,男,18电气自动化,770.0,97,第四食堂,52.9340206185567,12.85
181092,男,18电气自动化,354.0,31,第二食堂,29.861290322580647,2.433333333333333
181093,男,18电气自动化,745.0,91,第二食堂,48.37472527472528,7.326666666666667
181094,男,18电气自动化,689.0,77,第四食堂,46.34805194805195,16.556666666666665
181095,男,18电气自动化,850.0,99,第二食堂,70.44949494949495,16.27
181096,男,18电气自动化,651.0,87,第四食堂,46.99425287356322,19.953333333333333
181098,男,18电气自动化,345.0,47,第四食堂,77.64468085106384,9.553333333333335
181099,男,18电气自动化,1151.0,141,第二食堂,76.83120567375887,14.986666666666668
181100,男,18电气自动化,529.0,64,第四食堂,54.4265625,13.316666666666666
181101,男,18电气自动化,547.0,67,第四食堂,99.61791044776119,13.393333333333334
181102,男,18电气自动化,1069.0,161,第二食堂,67.72670807453416,14.403333333333334
181103,男,18电气自动化,659.0,83,第四食堂,59.36385542168674,13.43
181104,男,18电气自动化,784.0,44,第一食堂,177.95454545454547,6.05
181105,男,18电气自动化,611.0,85,第四食堂,44.16823529411765,12.216666666666667
181106,男,18电气自动化,962.0,82,第二食堂,173.1780487804878,9.389999999999999
181107,男,18电气自动化,1226.0,154,第二食堂,45.58051948051948,15.610000000000001
181108,男,18电气自动化,1033.0,114,第二食堂,52.31754385964912,15.233333333333333
181110,男,18电气自动化,855.0,102,第二食堂,87.26470588235294,13.996666666666666
181111,男,18电气自动化,633.0,77,第一食堂,45.30259740259741,7.613333333333333
181112,男,18电气自动化,734.0,102,第二食堂,103.43529411764706,18.166666666666668
181113,男,18电气自动化,471.0,67,第五食堂,60.65522388059701,6.933333333333334
181114,男,18电气自动化,870.0,71,第一食堂,54.907042253521126,8.076666666666666
181115,男,18电气自动化,589.0,71,第四食堂,59.530985915492955,16.403333333333332
181116,男,18电气自动化,881.0,135,第二食堂,96.72666666666667,13.473333333333333
181117,男,18电气自动化,676.0,93,第二食堂,112.01505376344086,17.273333333333333
181119,男,18电气自动化,536.0,39,第二食堂,64.06410256410257,3.646666666666667
181120,男,18电气自动化,525.0,61,第四食堂,56.83540983606557,11.356666666666666
181122,女,18电气自动化,501.0,75,第二食堂,75.93866666666668,22.279999999999998
181123,女,18电气自动化,742.0,67,第二食堂,57.53432835820896,5.52
181124,女,18电气自动化,375.0,54,第二食堂,65.74444444444444,8.43
181125,男,18工业机器人,576.0,108,第二食堂,48.71944444444444,12.74
181126,男,18工业机器人,682.0,123,第二食堂,95.68943089430896,16.683333333333334
181127,男,18工业机器人,344.0,16,第二食堂,23.71875,1.7466666666666666
181128,男,18工业机器人,603.0,90,第二食堂,58.79555555555556,8.733333333333333
181130,男,18工业机器人,266.0,40,第二食堂,53.86,6.3933333333333335
181133,男,18工业机器人,1179.0,160,第二食堂,114.903125,22.513333333333332
181134,男,18工业机器人,449.0,18,第二食堂,38.13333333333333,1.25
181135,男,18工业机器人,671.0,52,第二食堂,52.65576923076923,6.1
181136,男,18工业机器人,1093.0,153,第二食堂,68.90849673202614,16.99
181138,男,18工业机器人,790.0,88,第四食堂,49.73295454545455,15.236666666666668
181139,男,18工业机器人,722.0,103,第二食堂,168.59436893203883,11.360000000000001
181142,男,18工业机器人,799.0,101,第二食堂,71.82970297029703,17.709999999999997
181144,男,18工业机器人,976.0,176,第二食堂,139.55795454545455,19.142666666666667
181145,男,18工业机器人,819.0,128,第二食堂,164.62265625,13.423333333333334
181147,男,18工业机器人,374.0,60,第一食堂,47.51133333333333,8.710333333333333
181148,男,18工业机器人,469.0,44,第二食堂,55.6,8.716666666666667
181149,男,18工业机器人,594.0,4,第四食堂,15.5,1.1666666666666667
181150,男,18工业机器人,733.0,155,第二食堂,85.57096774193549,12.953333333333335
181151,男,18工业机器人,700.0,110,第四食堂,102.12363636363636,17.31
181152,男,18工业机器人,718.0,79,第二食堂,47.54303797468354,13.676666666666668
181153,男,18工业机器人,497.0,40,第二食堂,42.1825,3.2733333333333334
181154,男,18工业机器人,683.0,47,第二食堂,44.642553191489355,7.46
181155,男,18工业机器人,611.0,173,第二食堂,71.8364161849711,16.279999999999998
181156,男,18工业机器人,839.0,116,第一食堂,66.53706896551725,8.59
181157,男,18工业机器人,715.0,60,第二食堂,102.26833333333335,6.756666666666666
181158,男,18工业机器人,573.0,87,第二食堂,185.0344827586207,13.956666666666667
181159,男,18工业机器人,617.0,59,第二食堂,39.42372881355932,6.013333333333334
181160,男,18工业机器人,605.0,74,第二食堂,95.66486486486487,8.0
181162,男,18工业机器人,590.0,73,第四食堂,84.06849315068493,16.4
181163,男,18工业机器人,588.0,61,第二食堂,37.2672131147541,8.979999999999999
181164,男,18工业机器人,539.0,40,第二食堂,29.22,3.5933333333333333
181167,男,18工业机器人,653.0,102,第二食堂,121.42941176470588,12.263333333333332
181168,男,18工业机器人,607.0,126,第二食堂,53.154761904761905,16.443333333333335
181172,女,18工业机器人,923.0,150,第二食堂,87.25066666666667,16.383333333333333
181173,女,18工业机器人,408.0,1,第四食堂,0.5,0.23333333333333334
181175,女,18工业机器人,263.0,37,第五食堂,48.28648648648648,6.566666666666666
181176,女,18工业机器人,774.0,127,第五食堂,78.87874015748032,12.083333333333334
181177,女,18工业机器人,391.0,47,第五食堂,62.60851063829787,15.58
181178,女,18工业机器人,495.0,21,第四食堂,107.53333333333333,3.0833333333333335
181179,女,18工业机器人,839.0,89,第五食堂,48.91011235955056,13.856666666666666
181180,女,18工业机器人,577.0,30,第二食堂,67.62333333333333,3.7066666666666666
181181,女,18工业机器人,842.0,45,第二食堂,48.095555555555556,16.92
181182,女,18工业机器人,1131.0,130,第二食堂,105.31692307692309,18.033333333333335
181183,女,18工业机器人,486.0,46,第二食堂,49.710869565217386,6.63
181184,女,18工业机器人,499.0,49,第二食堂,52.704897959183675,9.07
181185,女,18工业机器人,531.0,64,第二食堂,30.423437500000002,6.23
181186,女,18工业机器人,774.0,79,第二食堂,43.68354430379747,6.6466666666666665
181188,女,18工业机器人,954.0,114,第二食堂,27.54385964912281,8.56
181189,女,18工业机器人,835.0,84,第二食堂,60.1702380952381,7.5
181191,女,18工业机器人,939.0,118,第二食堂,108.69915254237289,17.743333333333336
181192,女,18工业机器人,622.0,131,第一食堂,84.85038167938932,13.59
181193,女,18工业机器人,770.0,53,第二食堂,53.03962264150943,3.54
181194,女,18工业机器人,443.0,82,第五食堂,38.35121951219512,14.366666666666667
181196,女,18工业机器人,842.0,100,第二食堂,99.28399999999999,11.053333333333335
181197,女,18工业机器人,502.0,50,第五食堂,47.956,7.6033333333333335
181198,女,18工业机器人,956.0,123,第二食堂,44.79756097560976,8.323333333333332
181199,女,18工业机器人,553.0,82,第二食堂,62.40243902439025,9.226666666666667
181201,女,18工业机器人,797.0,84,第二食堂,99.54047619047618,13.863333333333333
181202,女,18工业机器人,879.0,110,第二食堂,97.55090909090909,10.766666666666667
181203,女,18工业机器人,821.0,83,第二食堂,120.98975903614458,14.606333333333334
181204,女,18工业机器人,785.0,75,第二食堂,73.776,4.9366666666666665
181206,男,18工业设计,253.0,9,第二食堂,31.744444444444444,1.8599999999999999
181212,男,18工业设计,193.0,20,第二食堂,45.83,3.246666666666667
181215,男,18工业设计,764.0,83,第二食堂,141.9590361445783,15.0
181216,男,18工业设计,396.0,9,第二食堂,27.3,1.47
181222,男,18工业设计,364.0,65,第二食堂,46.918461538461536,5.97
181225,男,18工业设计,521.0,50,第二食堂,53.443999999999996,8.620000000000001
181227,男,18工业设计,549.0,2,第二食堂,1.5,0.05999999999999999
181228,男,18工业设计,592.0,105,第四食堂,69.60380952380952,16.016666666666666
181231,男,18工业设计,940.0,122,第二食堂,139.03196721311477,16.993333333333332
181232,男,18工业设计,232.0,7,第二食堂,37.91428571428571,1.0033333333333334
181233,男,18工业设计,606.0,39,第二食堂,37.56410256410256,3.9833333333333334
181234,男,18工业设计,585.0,67,第二食堂,57.90507462686567,8.186333333333334
181235,男,18工业设计,590.0,96,第二食堂,96.63229166666667,15.536666666666667
181237,男,18工业设计,832.0,109,第二食堂,84.41284403669725,9.92
181239,男,18工业设计,232.0,6,第四食堂,92.84999999999998,0.7833333333333333
181240,男,18工业设计,514.0,43,第二食堂,73.12325581395349,12.31
181241,男,18工业设计,456.0,27,第二食堂,42.94444444444444,6.673333333333333
181243,男,18工业设计,1372.0,209,第一食堂,135.42727272727274,25.15533333333333
181244,男,18工业设计,1281.0,182,第二食堂,122.55862637362637,19.753
181245,男,18工业设计,516.0,25,第一食堂,41.773999999999994,4.73
181246,男,18工业设计,616.0,57,第二食堂,82.09473684210526,7.463333333333334
181250,女,18工业设计,561.0,108,第二食堂,60.09444444444444,12.373333333333333
181252,女,18工业设计,474.0,45,第二食堂,44.13111111111111,5.8133333333333335
181253,女,18工业设计,488.0,59,第二食堂,50.433898305084746,9.976666666666667
181254,女,18工业设计,794.0,90,第二食堂,110.06722222222221,11.33
181255,女,18工业设计,772.0,86,第二食堂,53.579069767441865,13.056666666666667
181256,女,18工业设计,565.0,61,第一食堂,27.822950819672133,7.260000000000001
181257,女,18工业设计,677.0,71,第二食堂,42.07887323943662,6.216666666666667
181258,女,18工业设计,575.0,59,第二食堂,42.35762711864407,9.273333333333333
181259,女,18工业设计,336.0,36,第二食堂,56.03888888888889,4.71
181260,女,18工业设计,859.0,104,第二食堂,69.45384615384616,13.53
181262,女,18工业设计,440.0,40,第二食堂,34.655,16.396666666666665
181263,女,18工业设计,284.0,145,第二食堂,53.69034482758621,11.979999999999999
181264,女,18工业设计,537.0,50,第二食堂,56.18600000000001,5.383333333333334
181266,女,18工业设计,792.0,72,第四食堂,70.44888888888889,11.17
181268,女,18工业设计,1115.0,139,第二食堂,58.87913669064748,10.713333333333333
181269,女,18工业设计,716.0,61,第二食堂,52.85409836065573,7.3566666666666665
181270,女,18工业设计,835.0,60,第二食堂,138.91666666666666,12.073333333333332
181271,女,18工业设计,862.0,96,第二食堂,123.29791666666667,15.92
181273,女,18工业设计,666.0,81,第二食堂,78.51728395061728,10.229999999999999
181274,女,18工业设计,747.0,93,第二食堂,71.3236559139785,10.826666666666666
181275,女,18工业设计,968.0,144,第二食堂,70.13402777777777,12.07
181277,女,18工业设计,378.0,48,第二食堂,70.90208333333334,19.326666666666664
181278,女,18工业设计,557.0,67,第二食堂,37.27985074626866,8.113333333333333
181279,女,18工业设计,449.0,55,第三食堂,56.86545454545455,16.503333333333334
181280,女,18工业设计,652.0,82,第二食堂,60.099999999999994,12.29
181281,女,18工业设计,646.0,94,第四食堂,55.75851063829787,16.96333333333333
181282,女,18工业设计,802.0,83,第四食堂,62.214457831325305,11.793333333333333
181283,女,18工业设计,490.0,68,第一食堂,63.0514705882353,10.876666666666667
181284,女,18工业设计,583.0,62,第二食堂,42.00483870967742,6.286666666666666
181285,女,18工业设计,794.0,84,第二食堂,51.92619047619048,9.45
181289,女,18工业设计,821.0,76,第二食堂,181.92631578947368,12.75
181291,女,18工业设计,514.0,83,第二食堂,85.01626506024095,8.82
181292,女,18工业设计,535.0,75,第二食堂,76.916,5.433333333333334
181293,女,18工业设计,1003.0,127,第二食堂,111.9732283464567,8.883333333333333
181296,女,18工业设计,283.0,16,第四食堂,45.71875,3.2866666666666666
181297,女,18工业设计,713.0,83,第二食堂,56.4277108433735,8.826666666666666
181298,女,18工业设计,524.0,93,第二食堂,51.012365591397845,8.360000000000001
181299,女,18工业设计,582.0,79,第二食堂,46.08101265822785,10.666666666666666
181301,女,18工业设计,865.0,107,第二食堂,72.76981308411214,8.35
181302,女,18工业设计,552.0,78,第一食堂,94.63846153846154,22.439999999999998
181303,女,18工业设计,827.0,70,第一食堂,51.32,11.326666666666666
181305,女,18工业设计,833.0,95,第二食堂,102.35157894736842,14.0
181308,女,18工业设计,844.0,105,第二食堂,48.35619047619047,7.3100000000000005
181309,女,18工业设计,654.0,74,第二食堂,76.55135135135136,10.513333333333332
181310,女,18工业设计,661.0,96,第二食堂,56.856875,6.706666666666666
181311,女,18工业设计,838.0,92,第二食堂,76.4095652173913,9.203333333333335
181312,女,18工业设计,910.0,141,第二食堂,81.32411347517731,12.44
181313,女,18工业设计,308.0,46,第四食堂,66.78260869565217,7.923333333333333
181314,女,18工业设计,820.0,83,第二食堂,50.6,15.153333333333334
181315,女,18工业设计,673.0,48,第二食堂,109.03958333333333,29.79
181316,女,18工业设计,851.0,120,第二食堂,119.43166666666666,16.353333333333335
181317,女,18工业设计,226.0,39,第三食堂,48.382051282051286,7.489999999999999
181318,女,18工业设计,697.0,87,第四食堂,84.21034482758621,12.53
181320,女,18工业设计,820.0,104,第二食堂,80.90288461538461,9.613333333333333
181321,女,18工业设计,695.0,107,第二食堂,90.40467289719625,9.54
181322,女,18工业设计,1176.0,164,第二食堂,134.0439024390244,10.473333333333333
181323,女,18工业设计,792.0,126,第二食堂,91.94603174603175,10.643333333333334
181325,男,18机械制造,882.0,93,第二食堂,69.3963440860215,10.733333333333333
181327,男,18机械制造,1257.0,208,第二食堂,132.70567307692306,18.636666666666667
181328,男,18机械制造,583.0,49,第四食堂,102.00816326530611,9.583333333333334
181331,男,18机械制造,731.0,98,第四食堂,116.4795918367347,18.773333333333333
181332,男,18机械制造,662.0,87,第二食堂,63.139655172413796,12.063333333333333
181333,男,18机械制造,483.0,61,第二食堂,92.73606557377049,12.003333333333334
181334,男,18机械制造,357.0,29,第四食堂,40.86206896551724,14.916666666666666
181335,男,18机械制造,778.0,92,第一食堂,59.96847826086957,14.346666666666666
181336,男,18机械制造,493.0,55,第四食堂,51.25454545454546,10.01
181337,男,18机械制造,669.0,56,第二食堂,68.91607142857143,8.033333333333333
181338,男,18机械制造,996.0,133,第二食堂,104.35864661654136,19.02
181339,男,18机械制造,853.0,126,第二食堂,52.17539682539683,13.9
181340,男,18机械制造,473.0,64,第四食堂,123.7,11.193333333333333
181342,男,18机械制造,705.0,66,第四食堂,119.21363636363637,12.803333333333335
181343,男,18机械制造,1039.0,135,第二食堂,103.41703703703703,20.973333333333336
181344,男,18机械制造,979.0,125,第二食堂,84.8184,20.2
181345,男,18机械制造,565.0,67,第四食堂,66.99850746268656,12.49
181346,男,18机械制造,894.0,157,第二食堂,149.1031847133758,12.17
181348,男,18机械制造,826.0,157,第二食堂,103.32356687898088,16.606666666666666
181349,男,18机械制造,765.0,68,第二食堂,28.341176470588238,5.723333333333333
181350,男,18机械制造,620.0,60,第二食堂,50.18333333333333,9.706666666666667
181351,男,18机械制造,467.0,23,第四食堂,87.25217391304348,3.95
181352,男,18机械制造,681.0,48,第一食堂,68.20208333333333,17.22666666666667
181353,男,18机械制造,637.0,62,第四食堂,60.47903225806452,10.616666666666667
181354,男,18机械制造,874.0,114,第二食堂,67.37982456140351,16.03666666666667
181355,男,18机械制造,997.0,128,第二食堂,152.5625,14.293333333333333
181356,男,18机械制造,971.0,164,第二食堂,83.96890243902439,15.743333333333334
181357,男,18机械制造,188.0,9,第二食堂,32.45555555555555,2.25
181359,男,18机械制造,531.0,74,第二食堂,69.47432432432433,13.826666666666666
181360,男,18机械制造,507.0,53,第四食堂,45.70943396226415,12.006666666666666
181362,男,18机械制造,543.0,70,第二食堂,109.05428571428571,12.903333333333334
181364,男,18机械制造,484.0,57,第四食堂,56.63157894736842,11.193333333333333
181365,男,18机械制造,805.0,70,第二食堂,94.67857142857143,11.546666666666665
181366,男,18机械制造,696.0,97,第四食堂,175.19690721649482,17.88
181368,男,18机械制造,521.0,69,第四食堂,129.12028985507246,13.226666666666667
181369,男,18机械制造,397.0,35,第二食堂,57.791428571428575,10.229999999999999
181371,男,18机械制造,446.0,47,第四食堂,42.631914893617015,8.316666666666666
181372,男,18机械制造,561.0,59,第四食堂,61.94406779661016,12.543333333333333
181373,男,18机械制造,499.0,36,第二食堂,49.458333333333336,4.046666666666667
181374,男,18机械制造,593.0,105,第四食堂,131.10285714285715,25.34
181376,男,18机械制造,429.0,25,第二食堂,60.3,4.9
181377,男,18机械制造,299.0,17,第四食堂,54.96470588235294,3.046666666666667
181378,男,18机械制造,716.0,56,第四食堂,86.96535714285714,9.393333333333334
181379,男,18机械制造,854.0,125,第二食堂,107.3448,10.463333333333333
181380,男,18机械制造,571.0,70,第四食堂,90.63,11.453333333333335
181381,男,18机械制造,779.0,92,第二食堂,64.76739130434783,10.673333333333334
181383,男,18机械制造,846.0,127,第二食堂,57.60314960629922,13.05
181384,男,18机械制造,905.0,157,第二食堂,47.962420382165604,17.336666666666666
181385,男,18机械制造,538.0,63,第二食堂,53.006349206349206,13.066666666666666
181386,男,18机械制造,590.0,65,第四食堂,48.606153846153845,9.139999999999999
181387,男,18机械制造,931.0,124,第二食堂,102.26854838709677,14.41
181388,男,18机械制造,495.0,30,第二食堂,36.54666666666667,2.9033333333333333
181389,男,18机械制造,820.0,106,第四食堂,109.50283018867924,22.396666666666665
181390,男,18机械制造,720.0,61,第二食堂,48.126229508196715,16.56
181391,男,18机械制造,830.0,97,第一食堂,73.51886597938145,13.173333333333334
181394,男,18机械制造,365.0,2,第二食堂,56.25,0.23666666666666666
181395,男,18机械制造,159.0,1,教师食堂,116.4,0.25
181396,男,18机械制造,812.0,128,第二食堂,95.5,11.316666666666666
181397,男,18机械制造,788.0,10,第一食堂,59.720000000000006,0.7200000000000001
181398,男,18机械制造,707.0,75,第二食堂,69.14933333333333,11.993333333333334
181402,男,18机械制造,1002.0,97,第二食堂,50.324742268041234,10.706666666666667
181403,男,18机械制造,597.0,33,第四食堂,64.33030303030303,7.056666666666667
181404,男,18机械制造,952.0,68,第四食堂,50.81676470588235,10.423333333333334
181405,男,18机械制造,480.0,58,第二食堂,46.19482758620689,6.4
181406,男,18机械制造,569.0,49,第二食堂,51.875510204081635,7.703333333333333
181407,男,18机械制造,854.0,73,第四食堂,103.36027397260274,12.736666666666668
181408,男,18机械制造,927.0,137,第二食堂,57.22116788321168,14.428333333333335
181409,男,18机械制造,1256.0,181,第二食堂,51.37955801104973,14.29
181410,男,18机械制造,460.0,60,第一食堂,53.87833333333333,7.683333333333334
181411,男,18机械制造,1043.0,122,第二食堂,55.84672131147541,10.333333333333334
181412,男,18机械制造,618.0,59,第二食堂,69.80847457627118,9.913333333333332
181413,男,18机械制造,715.0,114,第四食堂,52.07982456140351,22.040000000000003
181414,男,18机械制造,1002.0,143,第二食堂,55.50699300699301,10.543333333333333
181415,男,18机械制造,1129.0,138,第二食堂,43.36014492753623,11.196666666666665
181416,男,18机械制造,1745.0,263,第一食堂,118.6745247148289,22.533333333333335
181417,男,18机械制造,1161.0,155,第二食堂,69.3683870967742,16.62
181418,男,18机械制造,949.0,99,第二食堂,89.43939393939394,14.21
181419,男,18机械制造,637.0,14,第四食堂,39.199999999999996,2.5433333333333334
181421,男,18机械制造,1090.0,158,第二食堂,99.49810126582278,16.273333333333333
181422,男,18机械制造,299.0,10,第五食堂,71.19,2.066666666666667
181423,男,18机械制造,593.0,28,第二食堂,48.36392857142857,3.369666666666667
181424,男,18机械制造,1036.0,121,第一食堂,67.4090909090909,11.796666666666665
181426,男,18机械制造,706.0,52,第五食堂,66.00961538461539,4.8100000000000005
181427,男,18机械制造,431.0,11,第五食堂,52.82727272727273,1.55
181429,男,18机械制造,420.0,31,第一食堂,58.26451612903226,3.393333333333333
181431,男,18机械制造,571.0,47,第一食堂,56.77319148936171,3.7266666666666666
181432,男,18机械制造,801.0,82,第四食堂,52.56951219512195,16.45
181434,男,18机械制造,852.0,121,第二食堂,61.13553719008265,13.023333333333333
181436,男,18机械制造,788.0,118,第二食堂,47.883050847457625,13.403333333333334
181437,男,18机械制造,1000.0,51,第一食堂,47.64058823529412,4.276666666666667
181439,男,18机械制造,403.0,73,第二食堂,53.6013698630137,6.203333333333333
181440,男,18机械制造,304.0,6,第二食堂,21.066666666666666,0.7633333333333333
181441,男,18机械制造,430.0,39,第二食堂,117.76666666666665,4.073333333333333
181442,男,18机械制造,1031.0,115,第二食堂,61.58347826086957,10.953333333333335
181443,男,18机械制造,1000.0,166,第二食堂,68.82650602409639,15.67
181444,男,18机械制造,582.0,79,第二食堂,36.005063291139244,8.911666666666667
181445,男,18机械制造,626.0,149,第二食堂,87.27919463087248,16.529999999999998
181446,男,18机械制造,956.0,165,第二食堂,67.49848484848485,15.69
181447,男,18机械制造,749.0,107,第二食堂,48.0803738317757,9.533333333333333
181448,男,18机械制造,1002.0,123,第二食堂,59.34715447154471,12.636666666666667
181449,男,18机械制造,723.0,75,第二食堂,59.78533333333333,6.1066666666666665
181450,男,18机械制造,509.0,36,第二食堂,57.78611111111112,2.546666666666667
181451,男,18机械制造,743.0,72,第二食堂,42.68333333333333,6.626666666666667
181452,男,18机械制造,735.0,75,第二食堂,71.46933333333332,9.616666666666667
181453,男,18机械制造,741.0,106,第二食堂,51.63490566037736,12.81
181455,男,18机械制造,917.0,105,第二食堂,48.38095238095238,6.92
181456,男,18机械制造,529.0,90,第三食堂,58.25333333333334,17.1
181457,男,18机械制造,708.0,121,第二食堂,89.33537190082644,17.828333333333333
181458,男,18机械制造,571.0,100,第二食堂,49.836000000000006,12.85
181459,男,18机械制造,910.0,141,第二食堂,102.78156028368795,21.073333333333334
181460,男,18机械制造,694.0,38,第二食堂,58.02894736842105,4.263333333333334
